url,name,block_type
Teams.microsoft.com,Teams.microsoft.com,1
Skype.com,Skype.com,1
Slack.com,Slack.com,1
Zoom.com,Zoom.com,1
Zoho.com,Zoho.com,1
Goto.com,Goto.com,1
eyeson.com/,eyeson.com/,1
meet.jit.si/,meet.jit.si/,1
webex.com/video-conferencing,webex.com/video-conferencing,1
Hangouts.google.com,Hangouts.google.com,1
yammer.com/,yammer.com/,1
Chanty.com,Chanty.com,1
rocket.chat/,rocket.chat/,1
discord.com/,discord.com/,1
mattermost.com/,mattermost.com/,1
flock.com/,flock.com/,1
ryver.com/,ryver.com/,1
flowdock.com/,flowdock.com/,1
app.glip.com/,app.glip.com/,1
fleep.io/,fleep.io/,1
messenger.com/desktop,messenger.com/desktop,1
messages.google.com/,messages.google.com/,1