alibaba.com,alibaba.com,1
aliexpress.com,aliexpress.com,1
amazon.*,amazon.*,1
bestbuy.*,bestbuy.*,1
boohoo.com,boohoo.com,1
craigslist.org,craigslist.org,1
ebay.*,ebay.*,1
etsy.com,etsy.com,1
facebook.com/marketplace*,facebook.com/marketplace*,1
fashionnova.com,fashionnova.com,1
forever21.com,forever21.com,1
gilt.com,gilt.com,1
google.*/shopping*,google.*/shopping*,1
groupon.com,groupon.com,1
ikea.com,ikea.com,1
kijiji.*,kijiji.*,1
macys.com,macys.com,1
necessaryclothing.com,necessaryclothing.com,1
overstock.com,overstock.com,1
priceline.com,priceline.com,1
qvc.com,qvc.com,1
rakuten.com,rakuten.com,1
riverisland.com,riverisland.com,1
sephora.com,sephora.com,1
shop.com,shop.com,1
shop.mango.com,shop.mango.com,1
shop.nordstrom.com,shop.nordstrom.com,1
shopbop.com,shopbop.com,1
shophq.com,shophq.com,1
shopzilla.com,shopzilla.com,1
snapdeal.com,snapdeal.com,1
soap.com,soap.com,1
staples.*,staples.*,1
target.com,target.com,1
thinkgeek.com,thinkgeek.com,1
tuftandneedle.com,tuftandneedle.com,1
uniqlo.com,uniqlo.com,1
walmart.*,walmart.*,1
westelm.com,westelm.com,1
wish.com,wish.com,1
zappos.com,zappos.com,1