abc.go.com,abc.go.com,1
bravotv.com,bravotv.com,1
cbs.com,cbs.com,1
crackle.com,crackle.com,1
crave.ca,crave.ca,1
dailymotion.com,dailymotion.com,1
directv.com,directv.com,1
disneyplus.com,disneyplus.com,1
fox.com,fox.com,1
fubo.tv,fubo.tv,1
hbonow.com,hbonow.com,1
hulu.com,hulu.com,1
mondomedia.com,mondomedia.com,1
Netflix.com,Netflix.com,1
newgrounds.com,newgrounds.com,1
nick.com,nick.com,1
philo.com,philo.com,1
primevideo.com,primevideo.com,1
sky.co.uk,sky.co.uk,1
sky.com,sky.com,1
sling.com,sling.com,1
sproutvideo.com,sproutvideo.com,1
starz.com,starz.com,1
ted.com,ted.com,1
tv.yahoo.com,tv.yahoo.com,1
twitch.tv,twitch.tv,1
vimeo.com,vimeo.com,1
wimp.com,wimp.com,1
xfinity.com,xfinity.com,1
Youtube.com,Youtube.com,1